time,gFx,gFy,gFz,TgF
1.367150,-0.8258,-0.2576,1.1482,1.438
1.367540,-0.8112,-0.2622,1.1577,1.438
1.368083,-0.8034,-0.2427,1.1582,1.430
1.368518,-0.7689,-0.2478,1.1818,1.432
1.369010,-0.7379,-0.2691,1.1801,1.418
1.369747,-0.7054,-0.2730,1.1741,1.397
1.370452,-0.6714,-0.3022,1.1645,1.378
1.371740,-0.6482,-0.3131,1.1447,1.352
1.403349,-0.6117,-0.3331,1.1181,1.317
1.404433,-0.5756,-0.3541,1.0790,1.273
1.405055,-0.5404,-0.3670,1.0455,1.233
1.405597,-0.5038,-0.3863,0.9984,1.183
1.406096,-0.4779,-0.4019,0.9665,1.151
1.406696,-0.4412,-0.4213,0.9223,1.106
