time,gFx,gFy,gFz,TgF
0.932389,-0.4971,0.0992,0.9619,1.087
0.935020,-0.5040,0.0928,0.9394,1.070
0.937372,-0.5080,0.0771,0.9406,1.072
0.940308,-0.5189,0.0519,0.9282,1.065
0.943274,-0.5059,0.0366,0.9318,1.061
0.944933,-0.4959,0.0302,0.9280,1.053
0.947750,-0.4715,0.0185,0.9367,1.049
0.950158,-0.4456,-0.0046,0.9534,1.052
0.952532,-0.4239,-0.0227,0.9665,1.056
0.955021,-0.3972,-0.0271,0.9770,1.055
0.958529,-0.4043,-0.0503,0.9984,1.078
0.960060,-0.4082,-0.0855,0.9971,1.081
0.962498,-0.4146,-0.0913,0.9891,1.076
0.965401,-0.4090,-0.1119,0.9900,1.077
0.967543,-0.3972,-0.1119,1.0081,1.089
0.969934,-0.3615,-0.1065,0.9930,1.062
0.972398,-0.3290,-0.0936,0.9737,1.032
0.975824,-0.2787,-0.0921,0.9480,0.992
0.977480,-0.2271,-0.0671,0.9196,0.950
0.979940,-0.1821,-0.0505,0.9194,0.939
0.982640,-0.1452,-0.0356,0.8922,0.905
0.985403,-0.1340,-0.0244,0.8856,0.896
0.987387,-0.1322,-0.0319,0.9094,0.920
0.989870,-0.1277,-0.0259,0.9167,0.926
0.992426,-0.1240,-0.0354,0.9551,0.964
0.994905,-0.1189,-0.0198,0.9678,0.975
0.997356,-0.1149,-0.0217,0.9937,1.001
1.000177,-0.1079,-0.0032,1.0182,1.024
1.002534,-0.1152,0.0344,1.0152,1.022
1.005067,-0.1135,0.0698,1.0182,1.027
1.008828,-0.1186,0.1192,0.9973,1.011
1.009777,-0.1423,0.1509,0.9873,1.009
1.012394,-0.1819,0.1771,0.9849,1.017
1.015099,-0.2300,0.1915,0.9861,1.031
1.017586,-0.2823,0.2001,1.0037,1.062
1.019928,-0.3124,0.2074,1.0137,1.081
1.022587,-0.3491,0.2218,1.0161,1.097
1.025518,-0.3505,0.2277,1.0250,1.107
1.027433,-0.3661,0.2372,1.0401,1.128
1.030192,-0.3679,0.2483,1.0408,1.131
1.032880,-0.3193,0.2768,1.0315,1.115
1.035249,-0.2855,0.2905,1.0173,1.096
1.037533,-0.2230,0.3233,1.0384,1.110
1.040165,-0.1939,0.3226,1.0489,1.114
1.043021,-0.1616,0.3235,1.0827,1.141
1.045602,-0.1066,0.3352,1.0863,1.142
1.047933,-0.0350,0.3553,1.0892,1.146
1.050133,-0.0240,0.3287,1.0872,1.136
1.052809,-0.0472,0.2863,1.0904,1.128
1.054883,-0.0879,0.2600,1.0990,1.133
1.061219,-0.1567,0.2050,1.1137,1.143
1.062139,-0.2078,0.1686,1.1212,1.153
1.062717,-0.2373,0.1446,1.1242,1.158
1.065264,-0.2515,0.1258,1.1256,1.160
1.067922,-0.2591,0.1143,1.1396,1.174
1.070048,-0.2636,0.1085,1.1477,1.183
1.072580,-0.2574,0.1062,1.1508,1.184
1.079425,-0.2667,0.0974,1.1564,1.191
1.080209,-0.2869,0.0980,1.1457,1.185
1.080541,-0.3051,0.0831,1.1528,1.195
1.082569,-0.3379,0.0633,1.1415,1.192
1.084972,-0.3295,0.0593,1.1464,1.194
1.087396,-0.2752,0.0696,1.1271,1.162
1.091752,-0.2574,0.0735,1.1762,1.206
1.092653,-0.1993,0.0779,1.1650,1.184
1.095082,-0.1888,0.0789,1.1716,1.189
1.097454,-0.1865,0.0669,1.1713,1.188
1.100131,-0.1927,0.0750,1.1882,1.206
1.102535,-0.1445,0.0867,1.1680,1.180
1.105163,-0.0937,0.1067,1.1403,1.149
1.108853,-0.1128,0.0967,1.1347,1.144
1.110149,-0.1565,0.0806,1.1110,1.125
1.112619,-0.1888,0.0559,1.1088,1.126
1.115317,-0.2083,0.0573,1.1137,1.134
1.117762,-0.2410,0.0559,1.1173,1.144
1.120209,-0.2496,0.0630,1.1315,1.160
1.122691,-0.2834,0.0754,1.1384,1.176
1.126150,-0.2345,0.0889,1.1298,1.157
1.127803,-0.1870,0.1067,1.1066,1.127
1.130523,-0.2030,0.1109,1.0956,1.120
1.132444,-0.2195,0.1129,1.0878,1.115
1.134908,-0.2477,0.1104,1.0699,1.104
1.137307,-0.2682,0.1211,1.0746,1.114
1.139769,-0.2769,0.1402,1.0763,1.120
1.142419,-0.2787,0.1441,1.0641,1.109
1.144904,-0.2711,0.1656,1.0589,1.106
1.147699,-0.2890,0.1624,1.0492,1.100
1.150005,-0.2872,0.1705,1.0394,1.092
1.152348,-0.2918,0.1712,1.0291,1.083
1.154886,-0.2818,0.1830,1.0084,1.063
1.157561,-0.2713,0.1759,0.9937,1.045
1.159933,-0.2845,0.1869,0.9714,1.029
1.162543,-0.2909,0.1840,0.9602,1.020
1.164944,-0.3078,0.1737,0.9394,1.004
1.167344,-0.3151,0.1561,0.9426,1.006
1.169784,-0.3290,0.1532,0.9280,0.996
1.172234,-0.3383,0.1368,0.9252,0.995
1.174862,-0.3442,0.1236,0.9128,0.983
1.177368,-0.3571,0.1060,0.9282,1.000
1.179895,-0.3589,0.0957,0.9277,0.999
1.182439,-0.3415,0.0952,0.9374,1.002
1.184870,-0.3234,0.1109,0.9213,0.983
1.187281,-0.3063,0.1162,0.9318,0.988
1.189896,-0.2923,0.1263,0.9374,0.990
1.192451,-0.2934,0.1332,0.9297,0.984
1.195028,-0.3190,0.1304,0.9382,0.999
1.197652,-0.3439,0.1365,0.9365,1.007
1.199992,-0.3640,0.1395,0.9409,1.018
1.202322,-0.3933,0.1280,0.9289,1.017
1.204847,-0.4050,0.1319,0.9171,1.011
1.207389,-0.4272,0.1388,0.9115,1.016
